iso3,year,gdp_current_dollars
ALB,2005,8052077056
ALB,2006,8896074752
ALB,2007,10677324800
ALB,2008,12881352704
ALB,2009,12044206080
ALB,2010,11926926336
ALB,2011,12890760192
ALB,2012,12319834112
ALB,2013,12776224768
ALB,2014,13228147712
ALB,2015,11386853376
ALB,2016,11861199872
ALB,2017,13019725824
ALB,2018,15156423680
ALB,2019,15401826304
ALB,2020,15162734592
ALB,2021,17930565632
ALB,2022,18882095104
AND,2000,1429048064
AND,2001,1546912384
AND,2002,1755989888
AND,2003,2361635840
AND,2004,2895047680
AND,2005,3159826944
AND,2006,3456264960
AND,2007,3952397824
AND,2008,4085782016
AND,2009,3674188288
AND,2010,3449925632
AND,2011,3629133568
AND,2012,3188652800
AND,2013,3193512960
AND,2014,3271685632
AND,2015,2789881344
AND,2016,2896610560
AND,2017,3000162048
AND,2018,3218419968
AND,2019,3155149312
AND,2020,2891001088
AND,2021,3325145344
AND,2022,3352032768
ARE,2000,104337375232
ARE,2001,103311638528
ARE,2002,109816201216
ARE,2003,124346359808
ARE,2004,147824377856
ARE,2005,180617461760
ARE,2006,222116544512
ARE,2007,257916141568
ARE,2008,315474608128
ARE,2009,253547364352
ARE,2010,289787445248
ARE,2011,350666063872
ARE,2012,384610140160
ARE,2013,400218521600
ARE,2014,414105370624
ARE,2015,370275483648
ARE,2016,369255317504
ARE,2017,390516801536
ARE,2018,427049418752
ARE,2019,417989722112
ARE,2020,349473013760
ARE,2021,415021596672
ARE,2022,507534934016
ARG,2000,284203745280
ARG,2001,268696748032
ARG,2002,97724006400
ARG,2003,127586975744
ARG,2004,164657938432
ARG,2005,198737100800
ARG,2006,232557264896
ARG,2007,287530516480
ARG,2008,361558048768
ARG,2009,332976488448
ARG,2010,423627423744
ARG,2011,530158190592
ARG,2012,545982382080
ARG,2013,552025128960
ARG,2014,526319681536
ARG,2015,594749292544
ARG,2016,557532315648
ARG,2017,643628400640
ARG,2018,524819890176
ARG,2019,447754698752
ARG,2020,385540390912
ARG,2021,487227129856
ARG,2022,632770265088
ARM,2000,1911563648
ARM,2001,2118467968
ARM,2002,2376335104
ARM,2003,2807060992
ARM,2004,3576615168
ARM,2005,4900469760
ARM,2006,6384452096
ARM,2007,9206301696
ARM,2008,11662041088
ARM,2009,8647937024
ARM,2010,9260285952
ARM,2011,10142111744
ARM,2012,10619320320
ARM,2013,11121464320
ARM,2014,11609512960
ARM,2015,10553337856
ARM,2016,10546136064
ARM,2017,11527458816
ARM,2018,12457940992
ARM,2019,13619290112
ARM,2020,12641698816
ARM,2021,13861409792
ARM,2022,19502784512
ASM,2000,488000416
ASM,2001,500000160
ASM,2002,511999904
ASM,2003,523999648
ASM,2004,508999904
ASM,2005,500000128
ASM,2006,493000000
ASM,2007,517999584
ASM,2008,560000320
ASM,2009,674999872
ASM,2010,572999360
ASM,2011,569999552
ASM,2012,640000448
ASM,2013,638000384
ASM,2014,642999424
ASM,2015,672999552
ASM,2016,671000064
ASM,2017,611999872
ASM,2018,639000256
ASM,2019,647000128
ASM,2020,715999936
ASM,2021,708999872
ASM,2022,702068224
ATA,2000,
ATA,2001,
ATA,2002,
ATA,2003,
ATA,2004,
ATA,2005,
ATA,2006,
ATA,2007,
ATA,2008,
ATA,2009,
ATA,2010,
ATA,2011,
ATA,2012,
ATA,2013,
ATA,2014,
ATA,2015,
ATA,2016,
ATA,2017,
ATA,2018,
ATA,2019,
ATA,2020,
ATA,2021,
ATA,2022,
ATF,2000,
ATF,2001,
ATF,2002,
ATF,2003,
ATF,2004,
ATF,2005,
ATF,2006,
ATF,2007,
ATF,2008,
ATF,2009,
ATF,2010,
ATF,2011,
ATF,2012,
ATF,2013,
ATF,2014,
ATF,2015,
ATF,2016,
ATF,2017,
ATF,2018,
ATF,2019,
ATF,2020,
ATF,2021,
ATF,2022,
ATG,2000,826370368
ATG,2001,800481472
ATG,2002,814381504
ATG,2003,856396288
ATG,2004,919729600
ATG,2005,1022962944
ATG,2006,1157662976
ATG,2007,1312759296
ATG,2008,1370070400
ATG,2009,1228329600
ATG,2010,1148700032
ATG,2011,1137636992
ATG,2012,1199948160
ATG,2013,1181448192
ATG,2014,1249733376
ATG,2015,1336692608
ATG,2016,1436585216
ATG,2017,1467955584
ATG,2018,1604770432
ATG,2019,1675403648
ATG,2020,1416348160
ATG,2021,1560518528
ATG,2022,1757603712
AUS,2000,399960014848
AUS,2001,377780011008
AUS,2002,425288007680
AUS,2003,541062987776
AUS,2004,658571984896
AUS,2005,735939985408
AUS,2006,782796980224
AUS,2007,949526003712
AUS,2008,1056486981632
AUS,2009,1000800976896
AUS,2010,1254497058816
AUS,2011,1515076059136
AUS,2012,1569430044672
AUS,2013,1519023947776
AUS,2014,1456599990272
AUS,2015,1233100996608
AUS,2016,1263520972800
AUS,2017,1381624053760
AUS,2018,1417030008832
AUS,2019,1385258024960
AUS,2020,1360687005696
AUS,2021,1646390935552
AUS,2022,1701892980736
AUT,2000,197376999424
AUT,2001,197510004736
AUT,2002,214243000320
AUT,2003,262207995904
AUT,2004,301320994816
AUT,2005,316267003904
AUT,2006,336297984000
AUT,2007,389230985216
AUT,2008,432004988928
AUT,2009,401322999808
AUT,2010,392595013632
AUT,2011,431608987648
AUT,2012,409661014016
AUT,2013,430197014528
AUT,2014,442698989568
AUT,2015,382009999360
AUT,2016,395727994880
AUT,2017,417113997312
AUT,2018,455198015488
AUT,2019,444669984768
AUT,2020,434877005824
AUT,2021,480688013312
AUT,2022,471685005312
AZE,2000,5272616960
AZE,2001,5707618304
AZE,2002,6236086784
AZE,2003,7276412928
AZE,2004,8680410112
AZE,2005,13245421568
AZE,2006,20981929984
AZE,2007,33049425920
AZE,2008,48851320832
AZE,2009,44292407296
AZE,2010,52909293568
AZE,2011,65952763904
AZE,2012,69679915008
AZE,2013,74160553984
AZE,2014,75239735296
AZE,2015,53076246528
AZE,2016,37867008000
AZE,2017,40866631680
AZE,2018,47112478720
AZE,2019,48174235648
AZE,2020,42693001216
AZE,2021,54825410560
AZE,2022,78721056768
BDI,2000,870486080
BDI,2001,876794752
BDI,2002,825394496
BDI,2003,784654400
BDI,2004,915257344
BDI,2005,1117113088
BDI,2006,1273375104
BDI,2007,1356199424
BDI,2008,1611835904
BDI,2009,1781455104
BDI,2010,2032135168
BDI,2011,2235820800
BDI,2012,2333341440
BDI,2013,2451606528
BDI,2014,2705783296
BDI,2015,3104003584
BDI,2016,2644487680
BDI,2017,2723587072
BDI,2018,2667182080
BDI,2019,2576518912
BDI,2020,2649680384
BDI,2021,2775798784
BDI,2022,3073414656
BEL,2000,236896993280
BEL,2001,236747997184
BEL,2002,258199994368
BEL,2003,318004002816
BEL,2004,369047011328
BEL,2005,385926987776
BEL,2006,408280989696
BEL,2007,470978002944
BEL,2008,517270011904
BEL,2009,482729984000
BEL,2010,481813987328
BEL,2011,523238998016
BEL,2012,496466984960
BEL,2013,521799008256
BEL,2014,535528996864
BEL,2015,462382989312
BEL,2016,475930984448
BEL,2017,502586998784
BEL,2018,543546015744
BEL,2019,535890001920
BEL,2020,524790988800
BEL,2021,594499993600
BEL,2022,582210027520
BEN,2000,3519991552
BEN,2001,3666222592
BEN,2002,4194342656
BEN,2003,5349258240
BEN,2004,6190270464
BEN,2005,6567654912
BEN,2006,7034111488
BEN,2007,8169048576
BEN,2008,9787734016
BEN,2009,9738626048
BEN,2010,9535344640
BEN,2011,10693321728
BEN,2012,11141358592
BEN,2013,12517844992
BEN,2014,13284528128
BEN,2015,11388161024
BEN,2016,11821066240
BEN,2017,12701656064
BEN,2018,14262408192
BEN,2019,14391686144
BEN,2020,15651545088
BEN,2021,17690083328
BEN,2022,17401745408
BES,2000,
BES,2001,
BES,2002,
BES,2003,
BES,2004,
BES,2005,
BES,2006,
BES,2007,
BES,2008,
BES,2009,
BES,2010,
BES,2011,
BES,2012,
BES,2013,
BES,2014,
BES,2015,
BES,2016,
BES,2017,
BES,2018,
BES,2019,
BES,2020,
BES,2021,
BES,2022,
BFA,2000,2968370176
BFA,2001,3190371072
BFA,2002,3622350080
BFA,2003,4740768256
BFA,2004,5451688448
BFA,2005,6146353152
BFA,2006,6547419648
BFA,2007,7625722880
BFA,2008,9451435008
BFA,2009,9450696704
BFA,2010,10109620224
BFA,2011,12080295936
BFA,2012,12561014784
BFA,2013,13444300800
BFA,2014,13943016448
BFA,2015,11832159232
BFA,2016,12833362944
BFA,2017,14106955776
BFA,2018,15890066432
BFA,2019,16178161664
BFA,2020,17933606912
BFA,2021,19737616384
BFA,2022,18884620288
BGD,2000,61687001088
BGD,2001,62536998912
BGD,2002,65036001280
BGD,2003,71754997760
BGD,2004,77152002048
BGD,2005,79530000384
BGD,2006,86028001280
BGD,2007,95374000128
BGD,2008,109765001216
BGD,2009,122760003584
BGD,2010,138094002176
BGD,2011,154096992256
BGD,2012,159748997120
BGD,2013,179676004352
BGD,2014,207102001152
BGD,2015,233687007232
BGD,2016,265236004864
BGD,2017,293754994688
BGD,2018,321379008512
BGD,2019,351237996544
BGD,2020,373901983744
BGD,2021,416265011200
BGD,2022,460201000960
BGR,2000,13246000128
BGR,2001,14183000064
BGR,2002,16403000320
BGR,2003,21145999360
BGR,2004,26158000128
BGR,2005,29867999232
BGR,2006,34380001280
BGR,2007,44431998976
BGR,2008,54476001280
BGR,2009,52024000512
BGR,2010,50682998784
BGR,2011,57679998976
BGR,2012,54299000832
BGR,2013,55812001792
BGR,2014,57081999360
BGR,2015,50781999104
BGR,2016,53949001728
BGR,2017,59321999360
BGR,2018,66427998208
BGR,2019,68920000512
BGR,2020,70345998336
BGR,2021,84120002560
BGR,2022,89115000832
BHR,2000,9062898688
BHR,2001,8976196608
BHR,2002,9593510912
BHR,2003,11074813952
BHR,2004,13150159872
BHR,2005,15968722944
BHR,2006,18504761344
BHR,2007,21730000896
BHR,2008,25710903296
BHR,2009,22938218496
BHR,2010,25713270784
BHR,2011,28776595456
BHR,2012,30749308928
BHR,2013,32539467776
BHR,2014,33387712512
BHR,2015,31050637312
BHR,2016,32234973184
BHR,2017,35473776640
BHR,2018,37802004480
BHR,2019,38653317120
BHR,2020,34621808640
BHR,2021,39303405568
BHR,2022,44390821888
BHS,2000,8076469760
BHS,2001,8317830144
BHS,2002,8881160192
BHS,2003,8870089728
BHS,2004,9055290368
BHS,2005,9836199936
BHS,2006,10167249920
BHS,2007,10618340352
BHS,2008,10526000128
BHS,2009,9981960192
BHS,2010,10095760384
BHS,2011,10070450176
BHS,2012,10720499712
BHS,2013,10562799616
BHS,2014,11176099840
BHS,2015,11672899584
BHS,2016,11750800384
BHS,2017,12253500416
BHS,2018,12653599744
BHS,2019,13058700288
BHS,2020,9754600448
BHS,2021,11527600128
BHS,2022,12897399808
BIH,2000,5567774208
BIH,2001,5800616448
BIH,2002,6728219648
BIH,2003,8498893312
BIH,2004,10156540928
BIH,2005,11222796288
BIH,2006,12864842752
BIH,2007,15778737152
BIH,2008,19112800256
BIH,2009,17613946880
BIH,2010,17176321024
BIH,2011,18644238336
BIH,2012,17226735616
BIH,2013,18179104768
BIH,2014,18558730240
BIH,2015,16404352000
BIH,2016,17116925952
BIH,2017,18326376448
BIH,2018,20484048896
BIH,2019,20482603008
BIH,2020,20226031616
BIH,2021,23649566720
BIH,2022,24527507456
BLM,2000,
BLM,2001,
BLM,2002,
BLM,2003,
BLM,2004,
BLM,2005,
BLM,2006,
BLM,2007,
BLM,2008,
BLM,2009,
BLM,2010,
BLM,2011,
BLM,2012,
BLM,2013,
BLM,2014,
BLM,2015,
BLM,2016,
BLM,2017,
BLM,2018,
BLM,2019,
BLM,2020,
BLM,2021,
BLM,2022,
BLR,2000,10785000448
BLR,2001,12778000384
BLR,2002,15091999744
BLR,2003,18420000768
BLR,2004,23928000512
BLR,2005,31239000064
BLR,2006,38219001856
BLR,2007,46814998528
BLR,2008,62798000128
BLR,2009,50854998016
BLR,2010,57220001792
BLR,2011,61368000512
BLR,2012,65669001216
BLR,2013,75495997440
BLR,2014,78735998976
BLR,2015,56328998912
BLR,2016,47702999040
BLR,2017,54722998272
BLR,2018,60010999808
BLR,2019,64413999104
BLR,2020,61312000000
BLR,2021,68207001600
BLR,2022,73119997952
BLZ,2000,1116000000
BLZ,2001,1163000064
BLZ,2002,1232999936
BLZ,2003,1298000000
BLZ,2004,1389500032
BLZ,2005,1461500032
BLZ,2006,1580999936
BLZ,2007,1696000000
BLZ,2008,1728999936
BLZ,2009,1680499968
BLZ,2010,1738499968
BLZ,2011,1819500032
BLZ,2012,1903000064
BLZ,2013,2029500032
BLZ,2014,2138000000
BLZ,2015,2210500096
BLZ,2016,2258500096
BLZ,2017,2286000128
BLZ,2018,2315000064
BLZ,2019,2416499968
BLZ,2020,2080000000
BLZ,2021,2491500032
BLZ,2022,2824081920
BMU,2000,3480218880
BMU,2001,3680483072
BMU,2002,3937228032
BMU,2003,4186524928
BMU,2004,4484703232
BMU,2005,4868135936
BMU,2006,6144000000
BMU,2007,6767000064
BMU,2008,6979999744
BMU,2009,6656000000
BMU,2010,6634526208
BMU,2011,6312691200
BMU,2012,6378187776
BMU,2013,6465756160
BMU,2014,6413987840
BMU,2015,6654540800
BMU,2016,6899911168
BMU,2017,7142316032
BMU,2018,7225976832
BMU,2019,7423464960
BMU,2020,6887147008
BMU,2021,7127199744
BMU,2022,7550499840
BOL,2000,8397855744
BOL,2001,8141517312
BOL,2002,7905485312
BOL,2003,8082399744
BOL,2004,8773451776
BOL,2005,9549122560
BOL,2006,11451845632
BOL,2007,13120107520
BOL,2008,16674277376
BOL,2009,17339992064
BOL,2010,19649724416
BOL,2011,23963162624
BOL,2012,27084496896
BOL,2013,30659338240
BOL,2014,32996188160
BOL,2015,33000198144
BOL,2016,33941127168
BOL,2017,37508640768
BOL,2018,40287649792
BOL,2019,40895324160
BOL,2020,36629843968
BOL,2021,40408207360
BOL,2022,43068887040
BRA,2000,655453978624
BRA,2001,559981985792
BRA,2002,509797990400
BRA,2003,558231977984
BRA,2004,669290004480
BRA,2005,891633008640
BRA,2006,1107627999232
BRA,2007,1397114011648
BRA,2008,1695855017984
BRA,2009,1669204017152
BRA,2010,2208703971328
BRA,2011,2614027091968
BRA,2012,2464052936704
BRA,2013,2471718027264
BRA,2014,2456054923264
BRA,2015,1800045985792
BRA,2016,1796621991936
BRA,2017,2063519055872
BRA,2018,1916934029312
BRA,2019,1873286004736
BRA,2020,1476091969536
BRA,2021,1648698982400
BRA,2022,1924133945344
BRB,2000,3059500032
BRB,2001,3054500096
BRB,2002,3106500096
BRB,2003,3209499904
BRB,2004,3444499968
BRB,2005,3819500032
BRB,2006,4217450752
BRB,2007,4674007552
BRB,2008,4784925184
BRB,2009,4465657344
BRB,2010,4529928192
BRB,2011,4657699328
BRB,2012,4610096128
BRB,2013,4677248512
BRB,2014,4696344576
BRB,2015,4724690944
BRB,2016,4832811520
BRB,2017,4981588992
BRB,2018,5097283072
BRB,2019,5324250112
BRB,2020,4671799808
BRB,2021,4843800064
BRB,2022,5637914624
BRN,2000,6001281024
BRN,2001,5601020416
BRN,2002,5843367424
BRN,2003,6557395968
BRN,2004,7872201216
BRN,2005,9531417600
BRN,2006,11470461952
BRN,2007,12247681024
BRN,2008,14393437184
BRN,2009,10732593152
BRN,2010,13707275264
BRN,2011,18525128704
BRN,2012,19048443904
BRN,2013,18094325760
BRN,2014,17097800704
BRN,2015,12930292736
BRN,2016,11400467456
BRN,2017,12128182272
BRN,2018,13567164416
BRN,2019,13469240320
BRN,2020,12005795840
BRN,2021,14006497280
BRN,2022,16681531392
BTN,2000,424448480
BTN,2001,461479552
BTN,2002,520846368
BTN,2003,603999488
BTN,2004,682576768
BTN,2005,796938432
BTN,2006,874990144
BTN,2007,1168307200
BTN,2008,1227809792
BTN,2009,1234013824
BTN,2010,1547988864
BTN,2011,1777101824
BTN,2012,1781280640
BTN,2013,1756214400
BTN,2014,1907089536
BTN,2015,2003596288
BTN,2016,2158969856
BTN,2017,2450366464
BTN,2018,2446864896
BTN,2019,2535653376
BTN,2020,2325184256
BTN,2021,2539550464
BTN,2022,2634472960
BVT,2000,
BVT,2001,
BVT,2002,
BVT,2003,
BVT,2004,
BVT,2005,
BVT,2006,
BVT,2007,
BVT,2008,
BVT,2009,
BVT,2010,
BVT,2011,
BVT,2012,
BVT,2013,
BVT,2014,
BVT,2015,
BVT,2016,
BVT,2017,
BVT,2018,
BVT,2019,
BVT,2020,
BVT,2021,
BVT,2022,
BWA,2000,5788329472
BWA,2001,5489608192
BWA,2002,5438864384
BWA,2003,7511582208
BWA,2004,8957467648
BWA,2005,9918907392
BWA,2006,9919158272
BWA,2007,10567270400
BWA,2008,10730828800
BWA,2009,10118459392
BWA,2010,12637273088
BWA,2011,15110642688
BWA,2012,13907464192
BWA,2013,14271737856
BWA,2014,15470088192
BWA,2015,13530748928
BWA,2016,15082636288
BWA,2017,16105156608
BWA,2018,17031943168
BWA,2019,16725908480
BWA,2020,14960291840
BWA,2021,18737065984
BWA,2022,20352321536
CAF,2000,916777280
CAF,2001,932648576
CAF,2002,996068160
CAF,2003,1142315520
CAF,2004,1272360576
CAF,2005,1337894400
CAF,2006,1461859712
CAF,2007,1699811328
CAF,2008,1993407872
CAF,2009,2067381632
CAF,2010,2142591488
CAF,2011,2437982720
CAF,2012,2510126592
CAF,2013,1691544064
CAF,2014,1894813440
CAF,2015,1695825664
CAF,2016,1825018112
CAF,2017,2072349952
CAF,2018,2220979200
CAF,2019,2221301248
CAF,2020,2326721024
CAF,2021,2516498432
CAF,2022,2382618624
CAN,2000,744630976512
CAN,2001,738968010752
CAN,2002,760148983808
CAN,2003,895598985216
CAN,2004,1026473000960
CAN,2005,1173505048576
CAN,2006,1319355940864
CAN,2007,1468895985664
CAN,2008,1552863985664
CAN,2009,1376508968960
CAN,2010,1617344987136
CAN,2011,1793326972928
CAN,2012,1828361994240
CAN,2013,1846595026944
CAN,2014,1805751025664
CAN,2015,1556508049408
CAN,2016,1527995957248
CAN,2017,1649265999872
CAN,2018,1725299949568
CAN,2019,1743725002752
CAN,2020,1647597977600
CAN,2021,2001487003648
CAN,2022,2139840053248
CCK,2000,
CCK,2001,
CCK,2002,
CCK,2003,
CCK,2004,
CCK,2005,
CCK,2006,
CCK,2007,
CCK,2008,
CCK,2009,
CCK,2010,
CCK,2011,
CCK,2012,
CCK,2013,
CCK,2014,
CCK,2015,
CCK,2016,
CCK,2017,
CCK,2018,
CCK,2019,
CCK,2020,
CCK,2021,
CCK,2022,
CHE,2000,279171006464
CHE,2001,286698995712
CHE,2002,309499002880
CHE,2003,362132996096
CHE,2004,403434995712
CHE,2005,418045984768
CHE,2006,441641992192
CHE,2007,490812997632
CHE,2008,566956982272
CHE,2009,553717989376
CHE,2010,598225977344
CHE,2011,715644010496
CHE,2012,686373011456
CHE,2013,706404024320
CHE,2014,726684008448
CHE,2015,693936979968
CHE,2016,687549972480
CHE,2017,695257989120
CHE,2018,725765980160
CHE,2019,721823989760
CHE,2020,739021029376
CHE,2021,799712018432
CHE,2022,807233978368
CHL,2000,78250000384
CHL,2001,71517003776
CHL,2002,70295003136
CHL,2003,76507996160
CHL,2004,99078995968
CHL,2005,122314997760
CHL,2006,153839992832
CHL,2007,172565004288
CHL,2008,179662995456
CHL,2009,171794006016
CHL,2010,217105006592
CHL,2011,251224997888
CHL,2012,267165007872
CHL,2013,277218000896
CHL,2014,259393994752
CHL,2015,242515001344
CHL,2016,249306005504
CHL,2017,276356988928
CHL,2018,295427997696
CHL,2019,278354001920
CHL,2020,254275993600
CHL,2021,316667002880
CHL,2022,300729008128
CHN,2000,1205531967488
CHN,2001,1333648949248
CHN,2002,1465829031936
CHN,2003,1656962023424
CHN,2004,1949446045696
CHN,2005,2290018942976
CHN,2006,2754149089280
CHN,2007,3555654893568
CHN,2008,4577280131072
CHN,2009,5088992034816
CHN,2010,6033829789696
CHN,2011,7492211834880
CHN,2012,8539584069632
CHN,2013,9624928387072
CHN,2014,10524240642048
CHN,2015,11113507848192
CHN,2016,11226896662528
CHN,2017,12265326641152
CHN,2018,13841812422656
CHN,2019,14340600102912
CHN,2020,14862564458496
CHN,2021,17759305990144
CHN,2022,18100044955648
CIV,2000,16577533952
CIV,2001,16810536960
CIV,2002,18054383616
CIV,2003,21251753984
CIV,2004,23510575104
CIV,2005,24036919296
CIV,2006,25281413120
CIV,2007,28760090624
CIV,2008,34078240768
CIV,2009,33886814208
CIV,2010,34936307712
CIV,2011,36693708800
CIV,2012,36302303232
CIV,2013,42760237056
CIV,2014,48843005952
CIV,2015,45815005184
CIV,2016,48407760896
CIV,2017,52512342016
CIV,2018,58522476544
CIV,2019,59898478592
CIV,2020,62982766592
CIV,2021,71811072000
CIV,2022,70018711552
CMR,2000,10566579200
CMR,2001,10953485312
CMR,2002,12417251328
CMR,2003,15970315264
CMR,2004,18826213376
CMR,2005,19509852160
CMR,2006,20910512128
CMR,2007,23928250368
CMR,2008,27715141632
CMR,2009,27932971008
CMR,2010,27507501056
CMR,2011,30630909952
CMR,2012,30155063296
CMR,2013,33728620544
CMR,2014,36386545664
CMR,2015,32210233344
CMR,2016,33814337536
CMR,2017,36098547712
CMR,2018,39973842944
CMR,2019,39670976512
CMR,2020,40773242880
CMR,2021,45338284032
CMR,2022,44341645312
COD,2000,19088046080
COD,2001,7438189056
COD,2002,8728038400
COD,2003,8937567232
COD,2004,10297483264
COD,2005,11964484608
COD,2006,14451901440
COD,2007,16737072128
COD,2008,19788515328
COD,2009,18648373248
COD,2010,21565720576
COD,2011,25839749120
COD,2012,29306234880
COD,2013,32679745536
COD,2014,35909042176
COD,2015,37917708288
COD,2016,37134802944
COD,2017,38019264512
COD,2018,47568211968
COD,2019,51775827968
COD,2020,48716963840
COD,2021,55350968320
COD,2022,58065952768
COG,2000,3227927808
COG,2001,2796704512
COG,2002,3034251008
COG,2003,3503723008
COG,2004,4656974848
COG,2005,6650001920
COG,2006,8072305152
COG,2007,8782703616
COG,2008,11649857536
COG,2009,9723299840
COG,2010,13148396544
COG,2011,15655384064
COG,2012,17692911616
COG,2013,17958721536
COG,2014,17912907776
COG,2015,11890258944
COG,2016,10219340800
COG,2017,11094823936
COG,2018,13670038528
COG,2019,12750339072
COG,2020,10483150848
COG,2021,13366231040
COG,2022,14615532544
COK,2000,99983528
COK,2001,105007392
COK,2002,121331672
COK,2003,166696480
COK,2004,194743200
COK,2005,199196432
COK,2006,204974432
COK,2007,226660640
COK,2008,225453728
COK,2009,215568256
COK,2010,240788240
COK,2011,271970688
COK,2012,299381024
COK,2013,289201536
COK,2014,319453312
COK,2015,302173120
COK,2016,309858304
COK,2017,345608544
COK,2018,362713376
COK,2019,356795072
COK,2020,283394272
COK,2021,327543648
COK,2022,306176704
COL,2000,99270000640
COL,2001,97606000640
COL,2002,97352998912
COL,2003,94071996416
COL,2004,116381999104
COL,2005,145601003520
COL,2006,161792999424
COL,2007,206229995520
COL,2008,242504007680
COL,2009,232469004288
COL,2010,286499012608
COL,2011,334965997568
COL,2012,370691014656
COL,2013,382093983744
COL,2014,381240999936
COL,2015,293491998720
COL,2016,282720010240
COL,2017,311889985536
COL,2018,334123991040
COL,2019,323054993408
COL,2020,270150991872
COL,2021,318512005120
COL,2022,343938990080
COM,2000,351136576
COM,2001,378512032
COM,2002,425964672
COM,2003,546885248
COM,2004,633706112
COM,2005,653845184
COM,2006,698431808
COM,2007,795673152
COM,2008,915659136
COM,2009,905341184
COM,2010,907978752
COM,2011,1023086272
COM,2012,1015843520
COM,2013,1116224128
COM,2014,1149587712
COM,2015,966029568
COM,2016,1012835520
COM,2017,1077439744
COM,2018,1188797440
COM,2019,1195019520
COM,2020,1225039232
COM,2021,1296089472
COM,2022,1242519424
CPV,2000,539227264
CPV,2001,563090496
CPV,2002,620507392
CPV,2003,813260480
CPV,2004,924940032
CPV,2005,972241664
CPV,2006,1107571456
CPV,2007,1649621760
CPV,2008,1959620608
CPV,2009,1852334592
CPV,2010,1824751488
CPV,2011,2046817920
CPV,2012,1913081216
CPV,2013,2028910976
CPV,2014,2041930112
CPV,2015,1749857664
CPV,2016,1849789952
CPV,2017,1996741504
CPV,2018,2205099520
CPV,2019,2266752256
CPV,2020,1878277248
CPV,2021,2091741824
CPV,2022,2314816768
CRI,2000,15015999488
CRI,2001,15978999808
CRI,2002,16583999488
CRI,2003,17276999680
CRI,2004,18614999040
CRI,2005,20049000448
CRI,2006,22716999680
CRI,2007,26884999168
CRI,2008,30801999872
CRI,2009,30745999360
CRI,2010,37655998464
CRI,2011,42761998336
CRI,2012,47231000576
CRI,2013,50949001216
CRI,2014,52017000448
CRI,2015,56441999360
CRI,2016,58846998528
CRI,2017,60516999168
CRI,2018,62421999616
CRI,2019,64412000256
CRI,2020,62381998080
CRI,2021,64610000896
CRI,2022,68385001472
CUB,2000,30565799936
CUB,2001,31682299904
CUB,2002,33590499328
CUB,2003,35901100032
CUB,2004,38203400192
CUB,2005,42643599360
CUB,2006,52742701056
CUB,2007,58603798528
CUB,2008,60806299648
CUB,2009,62080000000
CUB,2010,64327999488
CUB,2011,69511331840
